"report_name","report_url","report_source"
"Centers for Advanced Technology Program 2020 Report","https://esd.ny.gov/esd-media-center/reports/centers-advanced-technology-program-2020-report","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=6"
"Empire State Jobs Retention Program - Quarterly Report: 3/31/2021","https://esd.ny.gov/esd-media-center/reports/empire-state-jobs-retention-program-quarterly-report-3312021","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=6"
"Excelsior Jobs Program Quarterly Report: 3/31/2021","https://esd.ny.gov/esd-media-center/reports/excelsior-jobs-program-quarterly-report-3312021","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=6"
"Annual Program Report Fiscal Year 2019-2020","https://esd.ny.gov/sites/default/files/news-articles/Annual-Status-Report-FY-2019-20-FINAL.pdf","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=6"
"Empire State Development: Annual Report 2020","https://esd.ny.gov/esd-media-center/reports/empire-state-development-annual-report-2020","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=6"
"Independent Review of the Empire State Film Production and Post-Production Credit Programs – 2019 & 2020","https://esd.ny.gov/esd-media-center/reports/independent-review-empire-state-film-production-and-post-production-credit","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=6"
"Economic Impact of the Film Industry in New York State - 2019 & 2020","https://esd.ny.gov/esd-media-center/reports/economic-impact-film-industry-new-york-state-2019-2020","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=7"
"ESD 2019 Annual Jobs Report","https://esd.ny.gov/sites/default/files/news-articles/2019-Annual-Jobs-Report-Final.pdf","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=7"
"Excelsior Jobs Program Quarterly Report: 12/31/2020","https://esd.ny.gov/esd-media-center/reports/excelsior-jobs-program-quarterly-report-12312020","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=7"
"Empire State Jobs Retention Program - Quarterly Report: 12/31/2020","https://esd.ny.gov/esd-media-center/reports/empire-state-jobs-retention-program-quarterly-report-12312020","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=7"
"Musical and Theatrical Tax Credit Annual Report: 2020","https://esd.ny.gov/esd-media-center/reports/musical-and-theatrical-tax-credit-annual-report-2020","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=7"
